name,label,set_name
owxbbpjpch_1.npz,0,train
owxbbpjpch_2.npz,0,train
owxbbpjpch_3.npz,0,train
owxbbpjpch_4.npz,0,train
owxbbpjpch_5.npz,0,train
owxbbpjpch_6.npz,0,train
owxbbpjpch_7.npz,0,train
owxbbpjpch_8.npz,0,train
owxbbpjpch_9.npz,0,train
owxbbpjpch_10.npz,0,train
owxbbpjpch_11.npz,0,train
owxbbpjpch_12.npz,0,train
owxbbpjpch_13.npz,0,train
owxbbpjpch_14.npz,0,train
owxbbpjpch_15.npz,0,train
vpmyeepbep_1.npz,1,train
vpmyeepbep_2.npz,1,train
vpmyeepbep_3.npz,1,train
vpmyeepbep_4.npz,1,train
vpmyeepbep_5.npz,1,train
vpmyeepbep_6.npz,1,train
vpmyeepbep_7.npz,1,train
vpmyeepbep_8.npz,1,train
vpmyeepbep_9.npz,1,train
vpmyeepbep_10.npz,1,train
vpmyeepbep_11.npz,1,train
vpmyeepbep_12.npz,1,train
vpmyeepbep_13.npz,1,train
vpmyeepbep_14.npz,1,train
vpmyeepbep_15.npz,1,train
fzvpbrzssi_1.npz,1,train
fzvpbrzssi_2.npz,1,train
fzvpbrzssi_3.npz,1,train
fzvpbrzssi_4.npz,1,train
fzvpbrzssi_5.npz,1,train
fzvpbrzssi_6.npz,1,train
fzvpbrzssi_7.npz,1,train
fzvpbrzssi_8.npz,1,train
fzvpbrzssi_9.npz,1,train
fzvpbrzssi_10.npz,1,train
fzvpbrzssi_11.npz,1,train
fzvpbrzssi_12.npz,1,train
fzvpbrzssi_13.npz,1,train
fzvpbrzssi_14.npz,1,train
fzvpbrzssi_15.npz,1,train
htorvhbcae_1.npz,0,train
htorvhbcae_2.npz,0,train
htorvhbcae_3.npz,0,train
htorvhbcae_4.npz,0,train
htorvhbcae_5.npz,0,train
htorvhbcae_6.npz,0,train
htorvhbcae_7.npz,0,train
htorvhbcae_8.npz,0,train
htorvhbcae_9.npz,0,train
htorvhbcae_10.npz,0,train
htorvhbcae_11.npz,0,train
htorvhbcae_12.npz,0,train
htorvhbcae_13.npz,0,train
htorvhbcae_14.npz,0,train
htorvhbcae_15.npz,0,train
fckxaqjbxk_1.npz,0,train
fckxaqjbxk_2.npz,0,train
fckxaqjbxk_3.npz,0,train
fckxaqjbxk_4.npz,0,train
fckxaqjbxk_5.npz,0,train
fckxaqjbxk_6.npz,0,train
fckxaqjbxk_7.npz,0,train
fckxaqjbxk_8.npz,0,train
fckxaqjbxk_9.npz,0,train
fckxaqjbxk_10.npz,0,train
fckxaqjbxk_11.npz,0,train
fckxaqjbxk_12.npz,0,train
fckxaqjbxk_13.npz,0,train
fckxaqjbxk_14.npz,0,train
fckxaqjbxk_15.npz,0,train
sphirandia_1.npz,0,train
sphirandia_2.npz,0,train
sphirandia_3.npz,0,train
sphirandia_4.npz,0,train
sphirandia_5.npz,0,train
sphirandia_6.npz,0,train
sphirandia_7.npz,0,train
sphirandia_8.npz,0,train
sphirandia_9.npz,0,train
sphirandia_10.npz,0,train
sphirandia_11.npz,0,train
sphirandia_12.npz,0,train
sphirandia_13.npz,0,train
sphirandia_14.npz,0,train
sphirandia_15.npz,0,train
vsmadeuczx_1.npz,0,train
